foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q328769,Mel Stride,Q9626,Conservative Party (UK),32095,Q30173038,General election 2019,1
,,Lisa Webb,Q9630,Labour Party (UK),14374,Q30173038,General election 2019,2
Q75838993,,Alison Eden,Q9624,Liberal Democrats (UK),8770,Q30173038,General election 2019,3
Q75974740,,Andy Williamson,Q9669,Green Party of England and Wales,2833,Q30173038,General election 2019,4
,Q328769,Mel Stride,Q9626,Conservative Party (UK),31278,Q25052149,General election 2017,1
,,Lisa Webb,Q9630,Labour Party (UK),15598,Q25052149,General election 2017,2
,,Alex White,Q9624,Liberal Democrats (UK),6770,Q25052149,General election 2017,3
Q75974740,,Andy Williamson,Q9669,Green Party of England and Wales,1531,Q25052149,General election 2017,4
,,Tim Matthews,Q10647,UK Independence Party,1326,Q25052149,General election 2017,5
,,John Dean,Q6972995,National Health Action Party,871,Q25052149,General election 2017,6
,,Lloyd Knight,Q3360801,"Liberal Party (UK, 1989)",470,Q25052149,General election 2017,7
,Q328769,Mel Stride,Q9626,Conservative Party (UK),28436,Q3586935,General election 2015,1
,,John Conway,Q10647,UK Independence Party,7171,Q3586935,General election 2015,2
,,Lynne Richards,Q9630,Labour Party (UK),6985,Q3586935,General election 2015,3
,,Alex White,Q9624,Liberal Democrats (UK),6643,Q3586935,General election 2015,4
Q75974740,,Andy Williamson,Q9669,Green Party of England and Wales,4866,Q3586935,General election 2015,5
,,Arthur Price,Q327591,Independent (politician),347,Q3586935,General election 2015,6
,Q328769,Mel Stride,Q9626,Conservative Party (UK),27737,Q215622,General election 2010,1
,,Phil Hutty,Q9624,Liberal Democrats (UK),18507,Q215622,General election 2010,2
,,Moira Macdonald,Q9630,Labour Party (UK),3715,Q215622,General election 2010,3
,,Bob Edwards,Q10647,UK Independence Party,2870,Q215622,General election 2010,4
,,Colin Matthews,Q9669,Green Party of England and Wales,1044,Q215622,General election 2010,5
